Epoch,Accuracy,Validation accuracy,Loss,Validation loss
0,0.26003211736679077,0.6723646521568298,3.2129855155944824,1.4144099950790405
1,0.5598716139793396,0.8376068472862244,1.6316289901733398,0.7482284307479858
2,0.7033708095550537,0.8575498461723328,1.1276580095291138,0.5755211710929871
3,0.7669342160224915,0.9002848863601685,0.8637591600418091,0.40733036398887634
4,0.8224719166755676,0.9487179517745972,0.6645047664642334,0.27693620324134827
5,0.8629213571548462,0.9430199265480042,0.5229440331459045,0.2488573044538498
6,0.9017656445503235,0.94017094373703,0.41069966554641724,0.22765782475471497
7,0.9213483333587646,0.934472918510437,0.34089213609695435,0.24688826501369476
8,0.9274478554725647,0.9572649598121643,0.2890896499156952,0.1872221678495407
9,0.9492776989936829,0.9601139426231384,0.23179510235786438,0.15246275067329407
10,0.9666131734848022,0.9572649598121643,0.18305732309818268,0.1864771544933319
11,0.9617977738380432,0.9601139426231384,0.18017128109931946,0.17324957251548767
12,0.9659711122512817,0.9658119678497314,0.15226297080516815,0.15584979951381683
13,0.9752808809280396,0.9658119678497314,0.12294726073741913,0.14958320558071136
14,0.9772070646286011,0.9572649598121643,0.11715872585773468,0.1542975902557373
15,0.9810593724250793,0.9544159770011902,0.0976574569940567,0.18155761063098907
16,0.9807383418083191,0.9601139426231384,0.09836313873529434,0.13905233144760132
17,0.9833065867424011,0.9658119678497314,0.08583945035934448,0.15231023728847504
18,0.9820224642753601,0.9601139426231384,0.09160050749778748,0.1509784758090973
19,0.9845907092094421,0.9487179517745972,0.07852629572153091,0.18230493366718292
20,0.9849117398262024,0.9658119678497314,0.07480958849191666,0.161410853266716
21,0.9855538010597229,0.9629629850387573,0.06911811232566833,0.1831105351448059
22,0.9878009557723999,0.9658119678497314,0.0691453069448471,0.18830595910549164
23,0.9849117398262024,0.9601139426231384,0.0673820748925209,0.20898087322711945
24,0.9839486479759216,0.9601139426231384,0.06738152354955673,0.16123786568641663
25,0.9833065867424011,0.9601139426231384,0.06626500189304352,0.17899218201637268
26,0.9855538010597229,0.9515669345855713,0.05823003873229027,0.18325413763523102
27,0.9871588945388794,0.9601139426231384,0.05716055631637573,0.1749940812587738
